UserName,UserId,RecallNo,RecallAttempt,RecallStatus,IntakeStartDateTime,IntakeEndDateTime,ReportingDate,Lang,AmtUsual,SaltType (For Future Use),SaltFreq (For Future Use),SaltUsed (For Future Use),Occ_No,Occ_Time,Occ_Name,EatWith,WatchTVuseComputer,Location,FoodNum,FoodType,FoodSrce,ComboNum,LineNum,Variable,Response,ResponseOs,SpinDial1,SpinDial2
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,1,1,,0,1,FoodListTerm,Celery,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,1,1,,0,2,VegPrep,Cooked,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,1,1,,0,3,VegFatUsed02,Oil (any kind),,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,1,1,,0,4,VegUnit,Cups,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,1,1,,0,5,VegPortionCup2,1 1/2 cups,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,1,1,,0,6,AnythingAdded,No,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,2,1,,0,1,FoodListTerm,Bacon,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,2,1,,0,2,BaconKind,Turkey,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,2,1,,0,3,BaconUnit,Slices,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,2,1,,0,4,BaconSize,Medium,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,2,1,,0,5,BaconPortionSlice,3 slices,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,3,1,,0,1,FoodListTerm,White rice,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,3,1,,0,2,RiceKind,Regular,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,3,1,,0,3,RicMixIng,No other ingredients,,,
new13,ccf01011-c4c4-4910-9f85-95d2d774be57,3,0,2,02/13/2016 12:00 AM,02/14/2016 12:00 AM,02/14/2016,1,2,9,9,9,1,02/13/2016 02:35 PM,3,,,1,3,1,,0,4,RiceTypeFat,No fat or oil,,,
